bi	date	dis	neg	pos
-0.60	2016-08-25	0.46	2500.00	756.00
-0.56	2016-08-26	0.48	1951.00	612.00
-0.26	2016-08-27	0.59	243.00	102.00
-0.04	2016-08-28	0.69	237.00	125.00
-0.39	2016-08-29	0.54	1581.00	584.00
-0.56	2016-08-30	0.48	1978.00	620.00
-0.44	2016-08-31	0.52	1818.00	642.00
-0.62	2016-09-01	0.45	2665.00	783.00
-0.43	2016-09-02	0.52	2389.00	849.00
-0.17	2016-09-03	0.63	214.00	99.00
-0.15	2016-09-04	0.64	210.00	99.00
-0.50	2016-09-05	0.50	1511.00	501.00
-0.34	2016-09-06	0.56	1589.00	622.00
-0.33	2016-09-07	0.57	1610.00	634.00
-0.50	2016-09-08	0.50	1942.00	644.00
-0.63	2016-09-09	0.45	2243.00	658.00
-0.43	2016-09-10	0.52	460.00	163.00
-0.35	2016-09-11	0.56	408.00	157.00
-0.78	2016-09-12	0.40	4377.00	1099.00
-0.62	2016-09-13	0.46	2254.00	664.00
-0.73	2016-09-14	0.42	2851.00	756.00
-0.20	2016-09-15	0.62	269.00	120.00
-0.03	2016-09-16	0.69	200.00	106.00
-0.24	2016-09-17	0.60	251.00	108.00
-0.15	2016-09-18	0.64	262.00	123.00
-0.41	2016-09-19	0.53	1197.00	435.00
-0.50	2016-09-20	0.50	1579.00	526.00
-0.29	2016-09-21	0.58	1644.00	676.00
-0.37	2016-09-22	0.55	1730.00	654.00
-0.65	2016-09-23	0.44	2289.00	654.00
-0.27	2016-09-24	0.59	255.00	106.00
-0.29	2016-09-25	0.58	251.00	103.00
-0.85	2016-09-26	0.38	3930.00	924.00
-0.61	2016-09-27	0.46	2523.00	754.00
-0.52	2016-09-28	0.49	1954.00	637.00
-0.40	2016-09-29	0.54	1608.00	593.00
-0.51	2016-09-30	0.50	1500.00	494.00
-0.29	2016-10-01	0.58	167.00	68.00
-0.29	2016-10-02	0.58	218.00	89.00
-0.37	2016-10-03	0.55	229.00	86.00
-0.35	2016-10-04	0.56	259.00	100.00
-0.24	2016-10-05	0.60	194.00	83.00
-0.10	2016-10-06	0.66	202.00	100.00
-0.12	2016-10-07	0.65	226.00	109.00
-0.03	2016-10-08	0.69	195.00	103.00
0.25	2016-10-09	0.83	227.00	160.00
0.03	2016-10-10	0.72	937.00	528.00
0.02	2016-10-11	0.72	770.00	429.00
-0.31	2016-10-12	0.57	1088.00	437.00
-0.12	2016-10-13	0.66	1141.00	556.00
-0.34	2016-10-14	0.56	1315.00	515.00
-0.25	2016-10-15	0.60	335.00	143.00
0.41	2016-10-16	0.91	146.00	121.00
-0.58	2016-10-17	0.47	1760.00	539.00
-0.12	2016-10-18	0.66	1120.00	547.00
-0.40	2016-10-19	0.54	1179.00	435.00
-0.33	2016-10-20	0.56	1258.00	495.00
-0.40	2016-10-21	0.54	2069.00	764.00
-0.34	2016-10-22	0.56	512.00	200.00
-0.12	2016-10-23	0.65	226.00	110.00
-0.11	2016-10-24	0.66	1067.00	523.00
-0.08	2016-10-25	0.67	804.00	405.00
-0.14	2016-10-26	0.65	1269.00	607.00
-0.24	2016-10-27	0.60	1071.00	462.00
-0.50	2016-10-28	0.50	1449.00	480.00
-0.35	2016-10-29	0.56	308.00	119.00
-0.19	2016-10-30	0.62	180.00	81.00
-0.31	2016-10-31	0.57	1195.00	482.00
-0.18	2016-11-01	0.63	846.00	386.00
-0.56	2016-11-02	0.48	1593.00	501.00
-0.20	2016-11-03	0.62	1452.00	651.00
-0.25	2016-11-04	0.60	1250.00	536.00
-0.03	2016-11-05	0.69	215.00	114.00
0.03	2016-11-06	0.72	208.00	117.00
-0.14	2016-11-07	0.65	1117.00	533.00
-0.08	2016-11-08	0.67	1099.00	559.00
-0.16	2016-11-09	0.64	2475.00	1154.00
0.03	2016-11-10	0.72	1137.00	640.00
0.02	2016-11-11	0.72	987.00	551.00
-0.17	2016-11-12	0.63	321.00	148.00
0.16	2016-11-13	0.78	250.00	160.00
-0.06	2016-11-14	0.68	1214.00	627.00
-0.14	2016-11-15	0.65	828.00	396.00
-0.31	2016-11-16	0.57	912.00	368.00
-0.13	2016-11-17	0.65	1132.00	547.00
-0.27	2016-11-18	0.59	977.00	410.00
-0.07	2016-11-19	0.67	226.00	115.00
-0.06	2016-11-20	0.68	265.00	136.00
-0.19	2016-11-21	0.62	1086.00	493.00
0.03	2016-11-22	0.72	1091.00	614.00
-0.31	2016-11-23	0.57	1231.00	496.00
-0.32	2016-11-24	0.57	1239.00	491.00
-0.27	2016-11-25	0.59	1600.00	671.00
-0.04	2016-11-26	0.69	207.00	109.00
0.14	2016-11-27	0.77	228.00	144.00
-0.08	2016-11-28	0.67	1041.00	525.00
-0.25	2016-11-29	0.60	1760.00	749.00
-0.20	2016-11-30	0.62	1336.00	598.00
-0.06	2016-12-01	0.68	860.00	446.00
-0.43	2016-12-02	0.53	1907.00	680.00
-0.14	2016-12-03	0.64	213.00	101.00
-0.19	2016-12-04	0.62	281.00	127.00
-0.38	2016-12-05	0.55	1743.00	653.00
-0.36	2016-12-06	0.55	1005.00	383.00
-0.06	2016-12-07	0.68	834.00	430.00
-0.35	2016-12-08	0.56	1221.00	470.00
-0.26	2016-12-09	0.59	1314.00	555.00
0.01	2016-12-10	0.71	235.00	130.00
0.20	2016-12-11	0.80	164.00	110.00
-0.69	2016-12-12	0.43	4128.00	1140.00
-0.31	2016-12-13	0.57	1891.00	759.00
-0.25	2016-12-14	0.60	1649.00	703.00
-0.32	2016-12-15	0.57	2104.00	837.00
-0.13	2016-12-16	0.65	1038.00	499.00
-0.01	2016-12-17	0.70	233.00	126.00
0.09	2016-12-18	0.75	198.00	118.00
-0.35	2016-12-19	0.56	1004.00	386.00
-0.44	2016-12-20	0.52	1940.00	687.00
-0.05	2016-12-21	0.68	991.00	516.00
-0.27	2016-12-22	0.59	957.00	399.00
-0.52	2016-12-23	0.49	2097.00	683.00
-0.17	2016-12-24	0.63	269.00	124.00
0.16	2016-12-25	0.78	254.00	164.00
-0.37	2016-12-26	0.55	1763.00	667.00
-0.14	2016-12-27	0.64	845.00	401.00
-0.49	2016-12-28	0.50	1590.00	533.00
-0.49	2016-12-29	0.50	1706.00	572.00
-0.31	2016-12-30	0.58	1464.00	591.00
0.47	2016-12-31	0.93	176.00	154.00
0.29	2017-01-01	0.85	189.00	139.00
0.19	2017-01-02	0.80	330.00	218.00
0.22	2017-01-03	0.81	717.00	491.00
0.20	2017-01-04	0.80	610.00	409.00
-0.24	2017-01-05	0.60	750.00	322.00
-0.32	2017-01-06	0.57	1184.00	471.00
0.24	2017-01-07	0.82	197.00	137.00
0.07	2017-01-08	0.74	220.00	129.00
0.11	2017-01-09	0.76	634.00	388.00
-0.06	2017-01-10	0.68	718.00	370.00
-0.41	2017-01-11	0.53	1566.00	571.00
-0.47	2017-01-12	0.51	1616.00	555.00
-0.40	2017-01-13	0.54	2517.00	926.00
-0.13	2017-01-14	0.65	338.00	162.00
0.07	2017-01-15	0.74	332.00	195.00
-0.58	2017-01-16	0.47	4488.00	1376.00
-0.34	2017-01-17	0.56	1953.00	761.00
-0.34	2017-01-18	0.56	1251.00	489.00
-0.46	2017-01-19	0.51	1515.00	524.00
-0.15	2017-01-20	0.64	932.00	441.00
0.24	2017-01-21	0.82	143.00	99.00
0.22	2017-01-22	0.81	139.00	95.00
-0.11	2017-01-23	0.66	633.00	310.00
-0.15	2017-01-24	0.64	859.00	406.00
-0.12	2017-01-25	0.66	739.00	360.00
-0.25	2017-01-26	0.60	922.00	392.00
-0.09	2017-01-27	0.66	131.00	65.00
-0.08	2017-01-28	0.67	72.00	36.00
-0.22	2017-01-29	0.61	85.00	37.00
0.54	2017-01-30	0.97	50.00	47.00
-0.28	2017-01-31	0.58	120.00	49.00
0.26	2017-02-01	0.83	75.00	53.00
-0.07	2017-02-02	0.67	187.00	95.00
-0.50	2017-02-03	0.50	1593.00	529.00
-0.18	2017-02-04	0.63	239.00	109.00
0.21	2017-02-05	0.81	187.00	126.00
0.03	2017-02-06	0.72	699.00	395.00
-0.30	2017-02-07	0.58	979.00	398.00
-0.09	2017-02-08	0.67	940.00	472.00
0.08	2017-02-09	0.74	687.00	406.00
-0.10	2017-02-10	0.66	902.00	448.00
0.32	2017-02-11	0.86	166.00	125.00
0.32	2017-02-12	0.86	155.00	117.00
-0.03	2017-02-13	0.69	631.00	336.00
-0.07	2017-02-14	0.68	713.00	366.00
-0.32	2017-02-15	0.57	1175.00	469.00
-0.14	2017-02-16	0.64	972.00	462.00
-0.42	2017-02-17	0.53	2216.00	800.00
0.13	2017-02-18	0.77	181.00	113.00
0.10	2017-02-19	0.75	184.00	111.00
0.08	2017-02-20	0.74	790.00	467.00
0.13	2017-02-21	0.77	601.00	375.00
-0.00	2017-02-22	0.71	712.00	389.00
-0.08	2017-02-23	0.67	898.00	453.00
-0.11	2017-02-24	0.66	765.00	377.00
0.32	2017-02-25	0.86	160.00	121.00
0.17	2017-02-26	0.79	232.00	151.00
-0.33	2017-02-27	0.57	1322.00	523.00
-0.15	2017-02-28	0.64	837.00	396.00
-0.14	2017-03-01	0.64	861.00	409.00
-0.35	2017-03-02	0.56	1675.00	644.00
-0.26	2017-03-03	0.59	1140.00	481.00
0.15	2017-03-04	0.78	143.00	91.00
0.20	2017-03-05	0.80	175.00	117.00
0.19	2017-03-06	0.80	551.00	366.00
-0.11	2017-03-07	0.66	713.00	351.00
-0.09	2017-03-08	0.67	923.00	463.00
-0.29	2017-03-09	0.58	1715.00	706.00
-0.21	2017-03-10	0.61	1124.00	499.00
-0.21	2017-03-11	0.61	227.00	100.00
0.06	2017-03-12	0.73	190.00	110.00
0.02	2017-03-13	0.72	1012.00	569.00
0.03	2017-03-14	0.72	740.00	418.00
1.29	2017-06-15	0.00	0.00	1.00
