date	bi	dis	neg	pos	ssi	bi_change
2016-08-25	-1.17	0.47	2486.0	770.0	-1716.0	0.6669
2016-08-26	-1.09	0.5	1921.0	642.0	-1279.0	-0.0763
2016-08-27	-0.66	0.68	228.0	117.0	-111.0	
2016-08-28	-0.45	0.78	221.0	141.0	-80.0	
2016-08-29	-0.98	0.55	1573.0	592.0	-981.0	0.0098
2016-08-30	-1.08	0.51	1939.0	659.0	-1280.0	-0.162
2016-08-31	-0.96	0.55	1781.0	679.0	-1102.0	-0.336
2016-09-01	-1.18	0.47	2636.0	812.0	-1824.0	0.8496
2016-09-02	-0.99	0.54	2361.0	877.0	-1484.0	-0.1287
2016-09-03	-0.54	0.73	198.0	115.0	-83.0	
2016-09-04	-0.42	0.79	187.0	122.0	-65.0	
2016-09-05	-1.01	0.53	1477.0	535.0	-942.0	-0.1515
2016-09-06	-0.83	0.61	1541.0	670.0	-871.0	-0.5063
2016-09-07	-0.9	0.58	1595.0	649.0	-946.0	-0.036
2016-09-08	-1.05	0.52	1917.0	669.0	-1248.0	-0.1365
2016-09-09	-1.18	0.47	2222.0	679.0	-1543.0	0.649
2016-09-10	-0.97	0.55	452.0	171.0	-281.0	
2016-09-11	-0.85	0.6	396.0	169.0	-227.0	
2016-09-12	-1.32	0.42	4324.0	1152.0	-3172.0	2.442
2016-09-13	-1.07	0.51	2175.0	743.0	-1432.0	-0.0535
2016-09-14	-1.25	0.44	2805.0	802.0	-2003.0	0.85
2016-09-15	-0.74	0.64	264.0	125.0	-139.0	
2016-09-16	-0.62	0.7	199.0	107.0	-92.0	
2016-09-17	-0.65	0.69	236.0	123.0	-113.0	
2016-09-18	-0.6	0.71	249.0	136.0	-113.0	
2016-09-19	-0.87	0.59	1151.0	481.0	-670.0	-0.6699
2016-09-20	-1.02	0.53	1547.0	558.0	-989.0	0.102
2016-09-21	-0.83	0.61	1617.0	703.0	-914.0	-0.083
2016-09-22	-0.82	0.61	1654.0	730.0	-924.0	-0.4428
2016-09-23	-1.21	0.46	2265.0	678.0	-1587.0	0.3388
2016-09-24	-0.73	0.65	244.0	117.0	-127.0	
2016-09-25	-0.63	0.69	231.0	123.0	-108.0	
2016-09-26	-1.39	0.4	3885.0	969.0	-2916.0	2.4464
2016-09-27	-1.13	0.49	2475.0	802.0	-1673.0	-0.6667
2016-09-28	-1.07	0.51	1928.0	663.0	-1265.0	0.3638
2016-09-29	-0.89	0.58	1562.0	639.0	-923.0	-0.3115
2016-09-30	-1.03	0.52	1471.0	523.0	-948.0	-0.2163
2016-10-01	-0.81	0.61	163.0	72.0	-91.0	
2016-10-02	-0.95	0.55	222.0	85.0	-137.0	
2016-10-03	-0.99	0.54	230.0	85.0	-145.0	
2016-10-04	-0.9	0.57	256.0	103.0	-153.0	
2016-10-05	-0.83	0.61	193.0	84.0	-109.0	
2016-10-06	-0.62	0.7	197.0	105.0	-92.0	
2016-10-07	-0.71	0.66	225.0	110.0	-115.0	
2016-10-08	-0.49	0.76	185.0	113.0	-72.0	
2016-10-09	-0.18	0.91	211.0	176.0	-35.0	
2016-10-10	-0.49	0.76	907.0	558.0	-349.0	-0.7105
2016-10-11	-0.44	0.78	729.0	470.0	-259.0	-0.2464
2016-10-12	-0.84	0.6	1067.0	458.0	-609.0	0.1848
2016-10-13	-0.64	0.69	1112.0	585.0	-527.0	-0.0576
2016-10-14	-0.88	0.59	1293.0	537.0	-756.0	-0.0704
2016-10-15	-0.81	0.62	331.0	147.0	-184.0	
2016-10-16	-0.16	0.92	144.0	123.0	-21.0	
2016-10-17	-1.14	0.48	1743.0	556.0	-1187.0	0.8436
2016-10-18	-0.63	0.7	1087.0	580.0	-507.0	-0.882
2016-10-19	-0.91	0.57	1152.0	462.0	-690.0	-0.0273
2016-10-20	-0.88	0.59	1239.0	514.0	-725.0	0.0088
2016-10-21	-0.94	0.56	2040.0	793.0	-1247.0	-0.1974
2016-10-22	-0.82	0.61	494.0	218.0	-276.0	
2016-10-23	-0.57	0.72	215.0	121.0	-94.0	
2016-10-24	-0.58	0.72	1018.0	572.0	-446.0	-0.7018
2016-10-25	-0.61	0.7	784.0	425.0	-359.0	-0.0732
2016-10-26	-0.83	0.61	1306.0	570.0	-736.0	0.415
2016-10-27	-0.82	0.61	1066.0	467.0	-599.0	0.1066
2016-10-28	-1.05	0.52	1429.0	500.0	-929.0	0.273
2016-10-29	-0.88	0.59	302.0	125.0	-177.0	
2016-10-30	-0.94	0.56	188.0	73.0	-115.0	
2016-10-31	-0.87	0.59	1182.0	495.0	-687.0	0.1044
2016-11-01	-0.64	0.69	806.0	426.0	-380.0	-0.4544
2016-11-02	-1.12	0.49	1579.0	515.0	-1064.0	0.7056
2016-11-03	-0.74	0.65	1424.0	679.0	-745.0	-0.6216
2016-11-04	-0.81	0.62	1235.0	551.0	-684.0	0.0972
2016-11-05	-0.63	0.69	215.0	114.0	-101.0	
2016-11-06	-0.35	0.82	191.0	134.0	-57.0	
2016-11-07	-0.77	0.63	1127.0	523.0	-604.0	-0.2002
2016-11-08	-0.63	0.7	1081.0	577.0	-504.0	-0.2961
2016-11-09	-0.69	0.67	2421.0	1208.0	-1213.0	0.4278
2016-11-10	-0.48	0.77	1097.0	680.0	-417.0	-0.6576
2016-11-11	-0.48	0.76	950.0	588.0	-362.0	-0.3744
2016-11-12	-0.69	0.67	313.0	156.0	-157.0	
2016-11-13	-0.31	0.84	237.0	173.0	-64.0	
2016-11-14	-0.61	0.71	1192.0	649.0	-543.0	-0.2745
2016-11-15	-0.67	0.67	811.0	413.0	-398.0	0.067
2016-11-16	-0.83	0.61	892.0	388.0	-504.0	0.0498
2016-11-17	-0.68	0.67	1116.0	563.0	-553.0	-0.0748
2016-11-18	-0.81	0.61	961.0	426.0	-535.0	0.3969
2016-11-19	-0.51	0.75	213.0	128.0	-85.0	
2016-11-20	-0.62	0.7	261.0	140.0	-121.0	
2016-11-21	-0.71	0.66	1059.0	520.0	-539.0	-0.5609
2016-11-22	-0.49	0.76	1056.0	649.0	-407.0	-0.4606
2016-11-23	-0.84	0.6	1207.0	520.0	-687.0	0.1848
2016-11-24	-0.86	0.6	1215.0	515.0	-700.0	-0.0172
2016-11-25	-0.86	0.59	1597.0	674.0	-923.0	-0.5332
2016-11-26	-0.53	0.74	199.0	117.0	-82.0	
2016-11-27	-0.35	0.83	218.0	154.0	-64.0	
2016-11-28	-0.59	0.72	1006.0	560.0	-446.0	-0.2714
2016-11-29	-0.74	0.65	1697.0	812.0	-885.0	-0.1332
2016-11-30	-0.73	0.65	1306.0	628.0	-678.0	0.73
2016-12-01	-0.55	0.73	827.0	479.0	-348.0	-0.396
2016-12-02	-0.98	0.54	1883.0	704.0	-1179.0	0.882
2016-12-03	-0.64	0.69	206.0	108.0	-98.0	
2016-12-04	-0.64	0.69	267.0	141.0	-126.0	
2016-12-05	-0.89	0.58	1697.0	699.0	-998.0	1.0769
2016-12-06	-0.88	0.59	981.0	407.0	-574.0	0.1408
2016-12-07	-0.62	0.7	823.0	441.0	-382.0	-0.4402
2016-12-08	-0.86	0.6	1187.0	504.0	-683.0	0.1806
2016-12-09	-0.78	0.63	1282.0	587.0	-695.0	-0.429
2016-12-10	-0.48	0.76	226.0	139.0	-87.0	
2016-12-11	-0.31	0.85	158.0	116.0	-42.0	
2016-12-12	-1.24	0.45	4082.0	1186.0	-2896.0	3.0628
2016-12-13	-0.89	0.58	1878.0	772.0	-1106.0	-0.0623
2016-12-14	-0.76	0.64	1605.0	747.0	-858.0	0.3496
2016-12-15	-0.85	0.6	2062.0	879.0	-1183.0	0.6205
2016-12-16	-0.66	0.68	1014.0	523.0	-491.0	-0.1122
2016-12-17	-0.53	0.74	226.0	133.0	-93.0	
2016-12-18	-0.53	0.74	199.0	117.0	-82.0	
2016-12-19	-0.94	0.56	1000.0	390.0	-610.0	0.1504
2016-12-20	-1.02	0.53	1932.0	695.0	-1237.0	0.4998
2016-12-21	-0.58	0.72	965.0	542.0	-423.0	-0.6438
2016-12-22	-0.81	0.62	938.0	418.0	-520.0	-0.0567
2016-12-23	-1.09	0.5	2081.0	699.0	-1382.0	1.0246
2016-12-24	-0.78	0.63	270.0	123.0	-147.0	
2016-12-25	-0.34	0.83	244.0	174.0	-70.0	
2016-12-26	-0.96	0.55	1759.0	671.0	-1088.0	-0.384
2016-12-27	-0.69	0.67	830.0	416.0	-414.0	0.1725
2016-12-28	-1.04	0.52	1568.0	555.0	-1013.0	0.416
2016-12-29	-1.0	0.54	1666.0	612.0	-1054.0	0.2
2016-12-30	-0.9	0.58	1460.0	595.0	-865.0	-0.216
2016-12-31	-0.08	0.96	172.0	158.0	-14.0	
2017-01-01	-0.19	0.9	180.0	148.0	-32.0	
2017-01-02	-0.17	0.91	298.0	250.0	-48.0	
2017-01-03	-0.34	0.83	706.0	502.0	-204.0	-0.3536
2017-01-04	-0.34	0.83	595.0	424.0	-171.0	-0.2482
2017-01-05	-0.74	0.64	727.0	345.0	-382.0	-0.1554
2017-01-06	-0.86	0.59	1164.0	491.0	-673.0	0.301
2017-01-07	-0.35	0.83	196.0	138.0	-58.0	
2017-01-08	-0.45	0.78	213.0	136.0	-77.0	
2017-01-09	-0.44	0.78	623.0	399.0	-224.0	-0.2376
2017-01-10	-0.63	0.69	710.0	378.0	-332.0	0.189
2017-01-11	-0.95	0.56	1543.0	594.0	-949.0	0.7505
2017-01-12	-1.04	0.52	1605.0	566.0	-1039.0	0.5824
2017-01-13	-0.99	0.54	2513.0	930.0	-1583.0	0.2079
2017-01-14	-0.76	0.64	341.0	159.0	-182.0	
2017-01-15	-0.4	0.8	316.0	211.0	-105.0	
2017-01-16	-1.18	0.47	4489.0	1375.0	-3114.0	0.354
2017-01-17	-0.9	0.58	1930.0	784.0	-1146.0	-0.153
2017-01-18	-0.9	0.58	1236.0	504.0	-732.0	-0.126
2017-01-19	-0.98	0.55	1483.0	556.0	-927.0	0.3724
2017-01-20	-0.59	0.71	883.0	490.0	-393.0	-0.413
2017-01-21	-0.31	0.84	140.0	102.0	-38.0	
2017-01-22	-0.41	0.79	141.0	93.0	-48.0	
2017-01-23	-0.66	0.68	623.0	320.0	-303.0	-0.2904
2017-01-24	-0.75	0.64	859.0	406.0	-453.0	-0.135
2017-01-25	-0.65	0.69	722.0	377.0	-345.0	-0.143
2017-01-26	-0.81	0.61	911.0	403.0	-508.0	-0.243
2017-01-27	-0.6	0.7	127.0	69.0	-58.0	
2017-01-28	-0.64	0.69	71.0	37.0	-34.0	
2017-01-29	-0.78	0.62	84.0	38.0	-46.0	
2017-01-30	-0.18	0.91	53.0	44.0	-9.0	
2017-01-31	-0.91	0.57	121.0	48.0	-73.0	
2017-02-01	-0.25	0.88	72.0	56.0	-16.0	
2017-02-02	-0.46	0.77	173.0	109.0	-64.0	
2017-02-03	-1.07	0.51	1580.0	542.0	-1038.0	0.642
2017-02-04	-0.79	0.62	240.0	108.0	-132.0	
2017-02-05	-0.37	0.82	185.0	128.0	-57.0	
2017-02-06	-0.54	0.73	692.0	402.0	-290.0	-0.2916
2017-02-07	-0.88	0.59	974.0	403.0	-571.0	0.1056
2017-02-08	-0.68	0.67	937.0	475.0	-462.0	-0.2992
2017-02-09	-0.5	0.75	681.0	412.0	-269.0	-0.255
2017-02-10	-0.6	0.71	871.0	479.0	-392.0	-0.252
2017-02-11	-0.25	0.87	164.0	127.0	-37.0	
2017-02-12	-0.26	0.87	154.0	118.0	-36.0	
2017-02-13	-0.49	0.76	599.0	368.0	-231.0	-0.3087
2017-02-14	-0.58	0.72	693.0	386.0	-307.0	-0.0174
2017-02-15	-0.86	0.59	1155.0	489.0	-666.0	0.129
2017-02-16	-0.71	0.66	962.0	472.0	-490.0	-0.3692
2017-02-17	-1.02	0.53	2217.0	799.0	-1418.0	0.867
2017-02-18	-0.43	0.79	178.0	116.0	-62.0	
2017-02-19	-0.52	0.75	185.0	110.0	-75.0	
2017-02-20	-0.52	0.74	789.0	468.0	-321.0	-0.6136
2017-02-21	-0.47	0.77	602.0	374.0	-228.0	-0.1927
2017-02-22	-0.48	0.76	680.0	421.0	-259.0	-0.1152
2017-02-23	-0.66	0.68	891.0	460.0	-431.0	0.198
2017-02-24	-0.63	0.7	745.0	397.0	-348.0	-0.0378
2017-02-25	-0.26	0.87	159.0	122.0	-37.0	
2017-02-26	-0.32	0.84	222.0	161.0	-61.0	
2017-02-27	-0.87	0.59	1299.0	546.0	-753.0	0.6612
2017-02-28	-0.68	0.67	818.0	415.0	-403.0	-0.2788
2017-03-01	-0.66	0.68	838.0	432.0	-406.0	-0.1056
2017-03-02	-0.89	0.58	1642.0	677.0	-965.0	0.4628
2017-03-03	-0.82	0.61	1125.0	496.0	-629.0	0.2952
2017-03-04	-0.39	0.8	140.0	94.0	-46.0	
2017-03-05	-0.32	0.84	169.0	123.0	-46.0	
2017-03-06	-0.32	0.84	532.0	385.0	-147.0	-0.1536
2017-03-07	-0.6	0.71	688.0	376.0	-312.0	-0.156
2017-03-08	-0.66	0.68	914.0	472.0	-442.0	0.033
2017-03-09	-0.86	0.59	1701.0	720.0	-981.0	0.6364
2017-03-10	-0.78	0.63	1112.0	511.0	-601.0	0.0936
2017-03-11	-0.67	0.67	217.0	110.0	-107.0	
2017-03-12	-0.4	0.8	180.0	120.0	-60.0	
2017-03-13	-0.58	0.72	1012.0	569.0	-443.0	-0.4408
2017-03-14	-0.58	0.72	743.0	415.0	-328.0	-0.0406
